Weight,Equiv. Sphere Diameter (nm),Collision Diameter (nm),Mobility Diameter (nm),Surface Area (cm2),Volume (cm3),Mass (g),Age (s),Stat. Weight (cm-3),Num coags,silica,Number of Si atoms,Number of O atoms,Number of OH atoms,Number of primaries,Avg. primary diameter,Avg. Sintering Level
15751.4,38.0756,84.3199,84.3199,1.50096e-10,2.89027e-17,6.35859e-17,0.728232,4.76352e-06,1001,567255,11102.7,21810.8,2093.35,55,9.38925,0.0549319
5855.06,52.464,134.686,134.686,3.55685e-10,7.56109e-17,1.66344e-16,0.727332,1.77068e-06,1575,1.5151e+06,10597.5,20254.5,1701.6,154,8.7624,0.069519
31331.8,29.8832,59.4206,59.4206,7.86628e-11,1.39727e-17,3.074e-17,0.727332,9.47535e-06,1635,280638,7973.08,15048.6,1327.53,38,7.09678,0.0842634
5665.82,52.8302,142.271,142.271,3.87497e-10,7.72052e-17,1.69851e-16,0.727332,1.71346e-06,2678,1.54559e+06,10612.2,20544.3,1464.82,157,8.61559,0.0502221
12455.7,40.7771,98.4893,98.4893,1.96084e-10,3.55016e-17,7.81035e-17,0.727332,3.76685e-06,1827,712371,9342.9,17879.3,1486,82,7.99585,0.0470581
55637.8,24.8591,42.8351,42.8351,4.39129e-11,8.04367e-18,1.76961e-17,0.727332,1.6826e-05,246,158417,10087.5,19617.5,1754.41,17,8.60925,0.0870508
5298.45,54.2905,148.698,148.698,4.19729e-10,8.37858e-17,1.84329e-16,0.727332,1.60235e-06,588,1.67037e+06,6926.28,13369.2,1094.57,260,6.02985,0.0758112
10199.6,43.5733,106.812,106.812,2.28924e-10,4.33173e-17,9.52981e-17,0.727332,3.08456e-06,659,869263,11006.3,21147.3,1638.75,85,8.88925,0.0428688
3856.56,60.2415,168.804,168.804,5.34776e-10,1.14469e-16,2.51831e-16,0.727332,1.1663e-06,52,2.29707e+06,10605.4,20374.9,1598.96,233,8.83517,0.0605154
14836.7,38.5036,89.6997,89.6997,1.6561e-10,2.98885e-17,6.57546e-17,0.727332,4.48692e-06,3301,593028,5800.66,11407.7,860.655,110,5.32194,0.0916547
13438.1,39.7995,95.2581,95.2581,1.84264e-10,3.30089e-17,7.26195e-17,0.727332,4.06395e-06,1535,660665,10469.2,20066,1657.82,68,8.89648,0.0331951
9355.21,44.8397,108.565,108.565,2.37968e-10,4.7205e-17,1.03851e-16,0.727332,2.8292e-06,2600,948848,7518.07,14377.2,1104.74,136,6.45779,0.0881131
8729.96,45.7463,108.911,108.911,2.41511e-10,5.01263e-17,1.10278e-16,0.727332,2.64011e-06,1021,1.00031e+06,8720.24,16866.1,1230.94,124,7.39864,0.0896683
25039.3,32.1867,70.5476,70.5476,1.05612e-10,1.74594e-17,3.84108e-17,0.727332,7.57237e-06,1075,355107,9101.4,17028.2,1341.76,42,7.7462,0.0287598
5636.11,53.106,155.219,155.219,4.42729e-10,7.84207e-17,1.72526e-16,0.727332,1.70447e-06,482,1.56214e+06,9420.94,18292.7,1370.09,179,7.60425,0.0275784
6785.72,49.5241,129.719,129.719,3.26635e-10,6.35986e-17,1.39917e-16,0.727332,2.05213e-06,144,1.29176e+06,9061.67,17303.8,1146.11,153,7.37499,0.0601773
9319.15,44.7328,114.441,114.441,2.5724e-10,4.68679e-17,1.03109e-16,0.727332,2.81829e-06,2218,942643,10456.1,20068.6,1501.82,97,8.61083,0.0341741
12482.3,40.5315,105.037,105.037,2.15307e-10,3.4864e-17,7.67009e-17,0.727332,3.77488e-06,1194,696560,7053.85,13914,650.019,107,5.16933,0.0368218
10824.2,42.7993,99.3787,99.3787,2.03614e-10,4.10495e-17,9.03089e-17,0.727332,3.27344e-06,954,816848,10406.7,20019.8,1610.72,85,8.81622,0.0714382
33882.2,29.1663,57.2004,57.2004,7.33989e-11,1.29911e-17,2.85803e-17,0.727332,1.02466e-05,1143,262445,10092.4,19132.1,1486.71,28,8.73291,0.0518656
6236.32,51.271,137.132,137.132,3.61239e-10,7.05691e-17,1.55252e-16,0.727332,1.88598e-06,687,1.40431e+06,9795.91,19098.5,1331.44,155,8.0821,0.052161
6877.73,49.8154,138.941,138.941,3.63143e-10,6.47278e-17,1.42401e-16,0.727332,2.07996e-06,1827,1.27928e+06,9600.34,18673.6,1603.42,144,8.21085,0.0295328
21996.8,33.743,70.6587,70.6587,1.0839e-10,2.01163e-17,4.4256e-17,0.727332,6.65225e-06,616,403263,11137.6,21043.6,2001.77,39,9.25442,0.0498205
11604.8,41.5079,94.2101,94.2101,1.85081e-10,3.74447e-17,8.23783e-17,0.727332,3.50952e-06,1730,758313,6861.72,13104.5,858.563,119,6.10949,0.11189
5655.11,53.0264,145.424,145.424,4.01189e-10,7.80686e-17,1.71751e-16,0.727332,1.71021e-06,514,1.56086e+06,10669.9,20510.2,1584.91,158,8.79056,0.0431991
